iter	Passed	Remaining
869	2814	420
870	2816	417
871	2819	413
872	2821	410
873	2826	407
874	2827	403
875	2828	400
876	2830	396
877	2831	393
878	2833	389
879	2834	386
880	2835	383
881	2841	380
882	2842	376
883	2843	373
884	2844	369
885	2846	366
886	2847	362
887	2848	359
888	2849	355
889	2850	352
890	2855	349
891	2856	345
892	2857	342
893	2859	339
894	2860	335
895	2861	332
896	2862	328
897	2864	325
898	2865	321
899	2869	318
900	2871	315
901	2872	312
902	2874	308
903	2875	305
904	2877	302
905	2879	298
906	2880	295
907	2886	292
908	2888	289
909	2889	285
910	2891	282
911	2892	279
912	2893	275
913	2894	272
914	2895	268
915	2900	266
916	2902	262
917	2904	259
918	2908	256
919	2910	253
920	2915	250
921	2916	246
922	2917	243
923	2918	240
924	2920	236
925	2921	233
926	2922	230
927	2923	226
928	2924	223
929	2930	220
930	2931	217
931	2932	213
932	2934	210
933	2935	207
934	2936	204
935	2938	200
936	2939	197
937	2943	194
938	2945	191
939	2946	188
940	2947	184
941	2948	181
942	2949	178
943	2950	175
944	2952	171
945	2953	168
946	2954	165
947	2959	162
948	2960	159
949	2962	155
950	2965	152
951	2966	149
952	2968	146
953	2972	143
954	2974	140
955	2976	136
956	2977	133
957	2978	130
958	2979	127
959	2980	124
960	2982	121
961	2983	117
962	2989	114
963	2990	111
964	2991	108
965	2992	105
966	2993	102
967	2995	99
968	2996	95
969	2997	92
970	2998	89
971	3003	86
972	3005	83
973	3007	80
974	3011	77
975	3012	74
976	3013	70
977	3015	67
978	3016	64
979	3017	61
980	3021	58
981	3022	55
982	3023	52
983	3028	49
984	3029	46
985	3031	43
986	3032	39
987	3033	36
988	3034	33
989	3036	30
990	3037	27
991	3038	24
992	3043	21
993	3044	18
994	3045	15
995	3047	12
996	3049	9
997	3050	6
998	3051	3
999	3052	0
